City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
598,Limpapa,PH,82.4,broken clouds,7.12,121.91,Woodland Resort
602,Hue,VN,80.6,few clouds,16.47,107.6,Saigon Morin Hotel
604,Borazjan,IR,87.8,clear sky,29.27,51.22,شرکت زرمهریار شعبه سوم
608,Visavadar,IN,79.9,overcast clouds,21.38,70.68,Brahmanad Dham Guest House
610,Kisangani,CD,82.4,broken clouds,0.52,25.2,Grand Ramela Hotel
611,Bocaiuva,BR,84.18,scattered clouds,-17.11,-43.81,Hotel Maxim's
614,Malanje,AO,81.66,light rain,-9.54,16.34,Malanje Hotel
616,Erzin,TR,78.01,clear sky,36.96,36.2,Artemis Otel
617,Bardiyah,LY,75.24,clear sky,31.76,25.09,بورتو بردية
625,Takoradi,GH,82.2,scattered clouds,4.88,-1.76,Raybow International Hotel
629,Mackay,AU,75.2,light rain,-21.15,149.2,International Lodge Motel
638,Auki,SB,78.62,overcast clouds,-8.77,160.7,Auki Motel
639,Banda Aceh,ID,81.68,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
642,Pandan,PH,81.1,overcast clouds,14.05,124.17,Bonifacio Lodge
643,Sao Miguel Do Araguaia,BR,84.45,moderate rain,-13.28,-50.16,Hotel Executivo Palace
653,Ilebo,CD,87.58,overcast clouds,-4.32,20.58,Hôtel des palmes
660,Pochutla,MX,75.0,broken clouds,15.74,-96.47,Hotel Posada San Jose
663,Sibiti,CG,84.06,light rain,-3.68,13.35,Hotel Mapila 1
669,Saquarema,BR,86.0,clear sky,-22.92,-42.51,Hotel Fazenda Sol e Lua
670,Diamantino,BR,75.0,light rain,-14.41,-56.45,Hotel Delta
676,Itajuba,BR,84.99,scattered clouds,-22.43,-45.45,Hotel Oriente
677,Sialkot,PK,80.6,haze,32.51,74.54,Hotel Denver
678,Payo,ID,76.01,broken clouds,-3.75,103.64,Mess keban agung
