City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Vaini,TO,-21.2,-175.2,68.0,77,20,5.82,few clouds
84,Clyde River,CA,70.47,-68.59,21.2,85,90,17.22,light snow
85,Chiredzi,ZW,-21.05,31.67,97.21,12,0,13.58,clear sky
86,Byron Bay,AU,-28.65,153.62,62.6,93,90,4.7,overcast clouds
87,Provideniya,RU,64.38,-173.3,24.62,90,0,6.13,clear sky
88,Jamestown,US,42.1,-79.24,44.01,100,90,5.82,light rain
89,Alofi,NU,-19.06,-169.92,68.0,77,1,9.17,clear sky
90,Dhamtari,IN,20.71,81.55,74.16,61,0,4.21,clear sky
91,Raigarh,IN,21.9,83.4,74.7,49,0,1.95,clear sky
92,Punta Arenas,CL,-53.15,-70.92,48.2,57,40,38.03,scattered clouds
93,Svetlaya,RU,46.54,138.33,41.5,89,100,13.67,light rain
94,Kushiro,JP,42.98,144.37,45.14,77,48,9.13,scattered clouds
95,Mayumba,GA,-3.43,10.66,80.38,79,92,9.13,light rain
96,Saint-Francois,FR,46.42,3.91,55.99,93,90,5.82,light intensity drizzle
97,Ugoofaaru,MV,5.67,73.0,83.35,73,9,10.07,clear sky
98,Dunedin,NZ,-45.87,170.5,53.01,94,61,10.25,broken clouds
99,Labuhan,ID,-6.88,112.21,84.02,75,16,10.67,few clouds
100,Buala,SB,-8.14,159.59,79.12,85,100,6.51,moderate rain
101,Lichtenvoorde,NL,51.99,6.57,53.01,81,100,5.99,overcast clouds
102,Wufeng,CN,27.45,104.83,51.08,100,86,2.55,overcast clouds
103,Longyearbyen,SJ,78.22,15.64,21.2,62,40,17.22,light shower snow
104,Arraial Do Cabo,BR,-22.97,-42.03,86.0,74,40,5.82,scattered clouds
105,Dikson,RU,73.51,80.55,2.37,85,36,17.92,scattered clouds
106,Ahuimanu,US,21.44,-157.84,73.4,100,75,3.36,broken clouds
107,Chihuahua,MX,28.5,-106.0,37.99,51,5,2.98,clear sky
108,Victoria,HK,22.29,114.16,73.99,77,98,7.0,light rain
109,Port Macquarie,AU,-31.43,152.92,55.0,100,0,2.24,clear sky
110,Alice Springs,AU,-23.7,133.88,87.8,14,15,16.11,few clouds
111,Puerto Ayacucho,VE,5.66,-67.62,81.88,79,57,5.55,broken clouds
112,Tieli,CN,46.95,128.05,28.83,93,0,2.95,clear sky
113,Kindu,CD,-2.95,25.95,79.59,74,100,5.21,light rain
114,Camopi,GF,3.17,-52.32,89.94,54,100,4.88,overcast clouds
115,Upernavik,GL,72.79,-56.15,17.94,85,97,7.7,overcast clouds
116,Lompoc,US,34.64,-120.46,46.4,65,1,3.36,clear sky
117,Hamilton,US,39.18,-84.53,52.0,93,90,16.11,moderate rain
118,Lakatoro,VU,-16.1,167.42,76.77,79,1,9.64,clear sky
119,Hithadhoo,MV,-0.6,73.08,83.73,75,0,12.91,clear sky
120,Fare,PF,-16.7,-151.02,80.29,75,10,8.57,light rain
121,Kulhudhuffushi,MV,6.62,73.07,83.5,69,99,7.72,overcast clouds
122,Chara,RU,56.91,118.26,12.36,90,89,0.81,overcast clouds
123,Bredasdorp,ZA,-34.53,20.04,66.2,45,40,23.04,scattered clouds
124,Aquiraz,BR,-3.9,-38.39,86.0,58,40,16.11,scattered clouds
125,Samarai,PG,-10.62,150.67,80.1,80,94,5.61,light rain
126,Pisco,PE,-13.7,-76.22,63.0,82,1,2.24,clear sky
127,East London,ZA,-33.02,27.91,68.0,94,20,2.24,light rain
128,Yanam,IN,16.73,82.22,76.6,64,0,3.06,clear sky
129,Portland,US,45.52,-122.68,50.0,93,90,1.54,mist
130,Darab,IR,28.75,54.54,74.32,16,0,2.42,clear sky
131,Saint-Leu,RE,-21.15,55.28,75.2,57,90,21.92,overcast clouds
132,Paamiut,GL,61.99,-49.67,27.3,87,100,9.84,overcast clouds
133,Nayagarh,IN,20.13,85.1,73.67,60,60,3.29,broken clouds
134,Santa Cruz,BO,-17.8,-63.17,77.0,83,75,17.22,light rain
135,Korla,CN,41.76,86.15,49.17,46,97,2.42,overcast clouds
136,Paita,PE,-5.09,-81.11,62.6,93,0,20.8,clear sky
137,Kodiak,US,57.79,-152.41,37.4,64,90,10.29,overcast clouds
138,Waipawa,NZ,-41.41,175.52,59.0,93,100,8.05,drizzle
139,Matamoros,MX,25.53,-103.25,49.53,43,0,6.42,clear sky
140,Fairbanks,US,64.84,-147.72,19.4,92,90,3.36,light snow
141,Lorengau,PG,-2.02,147.27,81.9,76,100,4.94,moderate rain
142,Ilulissat,GL,69.22,-51.1,15.8,78,40,6.93,scattered clouds
143,Kununurra,AU,-15.77,128.73,84.2,66,55,3.36,broken clouds
144,Plettenberg Bay,ZA,-34.05,23.37,61.02,75,100,15.99,overcast clouds
145,Lebu,CL,-37.62,-73.65,50.85,64,0,21.88,clear sky
146,Mitsamiouli,KM,-11.38,43.28,80.56,73,14,5.91,few clouds
147,Montelimar,FR,44.56,4.75,71.01,59,97,11.01,overcast clouds
148,Male,MV,4.17,73.51,82.83,77,100,12.75,light rain
149,Larap,PH,14.3,122.65,79.52,90,100,8.46,light rain
150,Rapid Valley,US,44.06,-103.15,37.0,84,90,4.7,overcast clouds
151,Shubarshi,KZ,48.59,57.19,45.28,50,0,6.2,clear sky
152,Maykor,RU,59.01,55.88,35.31,88,99,8.21,overcast clouds
153,Baykit,RU,61.67,96.37,11.37,93,57,2.17,broken clouds
154,Antofagasta,CL,-23.65,-70.4,60.8,67,90,2.24,overcast clouds
155,Cabo San Lucas,MX,22.89,-109.91,72.0,71,100,3.0,overcast clouds
156,Severo-Kurilsk,RU,50.68,156.12,42.17,83,95,7.27,overcast clouds
157,Kochinda,IN,21.73,84.35,72.91,50,8,3.44,clear sky
158,Pevek,RU,69.7,170.31,18.37,93,100,9.06,overcast clouds
159,Parkersburg,US,39.27,-81.56,55.4,93,90,3.36,heavy intensity rain
160,Sinnamary,GF,5.38,-52.95,86.41,68,99,12.06,overcast clouds
161,Kathmandu,NP,27.72,85.32,68.0,56,20,3.36,few clouds
162,Shingu,JP,33.73,135.98,55.22,72,0,7.78,clear sky
163,Labuan,MY,5.28,115.24,82.4,78,20,3.36,few clouds
164,Hazorasp,UZ,41.32,61.07,50.0,37,0,13.87,clear sky
165,Batagay-Alyta,RU,67.8,130.41,3.72,82,100,2.24,overcast clouds
166,Vestmannaeyjar,IS,63.44,-20.27,44.6,87,75,23.04,broken clouds
167,Mehamn,NO,71.04,27.85,35.6,93,90,20.8,overcast clouds
168,Mnogovershinnyy,RU,53.94,139.92,30.4,99,85,3.29,overcast clouds
169,Saldanha,ZA,-33.01,17.94,64.4,48,3,12.75,clear sky
170,Fenelon Falls,CA,44.53,-78.75,41.0,75,100,3.36,overcast clouds
171,Melito Di Porto Salvo,IT,37.92,15.77,71.6,56,20,16.11,few clouds
172,Marmande,FR,44.5,0.17,66.0,70,54,1.01,broken clouds
173,Lensk,RU,60.73,114.93,17.13,94,100,11.81,light snow
174,Sur,OM,22.57,59.53,79.36,48,0,6.24,clear sky
175,Hermanus,ZA,-34.42,19.23,55.0,76,97,10.0,overcast clouds
176,Sturgeon Falls,CA,46.36,-79.93,36.0,86,90,11.41,overcast clouds
177,Lazaro Cardenas,MX,17.96,-102.2,75.38,86,21,4.41,few clouds
178,Lovozero,RU,68.0,35.01,37.96,87,31,7.96,scattered clouds
179,Cherskiy,RU,68.75,161.3,7.41,91,100,3.24,overcast clouds
180,Acapulco,MX,16.86,-99.89,77.0,88,40,3.36,scattered clouds
181,Naze,JP,28.37,129.48,75.2,60,74,6.93,broken clouds
182,Yerofey Pavlovich,RU,53.97,121.97,22.39,92,100,2.42,overcast clouds
183,Aksarka,RU,66.56,67.8,14.85,97,100,3.8,overcast clouds
184,Khandyga,RU,62.67,135.6,7.97,96,100,3.44,overcast clouds
185,Salalah,OM,17.02,54.09,86.0,55,40,8.05,scattered clouds
186,Libreville,GA,0.39,9.45,84.2,79,20,9.17,few clouds
187,Dese,ET,11.13,39.63,64.17,35,0,8.68,clear sky
188,Esperance,AU,-33.87,121.9,55.4,76,0,16.11,clear sky
189,Narsaq,GL,60.92,-46.05,30.2,80,75,1.12,broken clouds
190,Kankon,IN,15.02,74.02,80.82,75,15,5.19,few clouds
191,Teguise,ES,29.06,-13.56,78.8,57,20,18.34,few clouds
192,Oussouye,SN,12.48,-16.55,91.4,59,0,4.7,clear sky
193,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,82.99,62,10,11.1,clear sky
194,Kyshtovka,RU,56.55,76.63,30.87,98,100,13.76,overcast clouds
195,Dinguiraye,GN,11.3,-10.72,92.05,21,30,4.41,scattered clouds
196,Angoche,MZ,-16.23,39.91,84.11,55,0,8.66,clear sky
197,Mongu,ZM,-15.25,23.13,93.38,25,57,6.33,broken clouds
198,Nemuro,JP,43.32,145.57,48.13,79,0,12.48,clear sky
199,Oriximina,BR,-1.77,-55.87,90.91,49,54,5.68,broken clouds
200,Nuuk,GL,64.18,-51.72,19.83,87,100,4.92,overcast clouds
201,Bacolod,PH,10.67,122.95,79.45,83,98,7.74,overcast clouds
202,Cartagena Del Chaira,CO,1.33,-74.84,81.03,72,99,5.37,overcast clouds
203,Erenhot,CN,43.65,111.98,45.09,44,0,9.08,clear sky
204,Barrow,US,71.29,-156.79,6.8,84,40,12.75,scattered clouds
205,Denekamp,DE,52.37,7.01,54.0,72,100,13.0,overcast clouds
206,Talnakh,RU,69.49,88.4,5.81,78,95,5.48,overcast clouds
207,Sindor,RU,62.86,51.89,38.17,95,100,8.21,overcast clouds
208,Xapuri,BR,-10.65,-68.5,77.0,88,75,9.17,broken clouds
209,Big Spring,US,32.25,-101.48,41.0,80,40,12.75,scattered clouds
210,Isangel,VU,-19.55,169.27,74.14,80,2,9.46,clear sky
211,Codrington,AU,-38.27,141.97,50.61,87,89,5.06,overcast clouds
212,Luang Prabang,LA,19.89,102.13,71.56,88,100,2.95,light rain
213,Otjimbingwe,NA,-22.35,16.13,96.58,14,57,13.6,broken clouds
214,Yar-Sale,RU,66.83,70.83,12.09,96,100,9.33,overcast clouds
215,Havelock,US,34.88,-76.9,75.99,88,1,6.93,clear sky
216,Kyra,RU,49.58,111.98,33.13,81,100,3.53,overcast clouds
217,Pacsa,HU,46.72,17.01,53.6,87,90,3.36,light intensity shower rain
218,Canto Do Buriti,BR,-8.11,-42.94,90.12,50,0,6.58,light rain
219,Tupik,RU,54.43,119.93,20.16,93,100,2.24,overcast clouds
220,Pontianak,ID,-0.03,109.33,79.16,87,100,3.6,light rain
221,Khatanga,RU,71.97,102.5,0.37,87,0,12.08,clear sky
222,Chokurdakh,RU,70.63,147.92,-3.21,90,45,6.15,scattered clouds
223,Marystown,CA,47.17,-55.15,39.38,73,91,7.61,overcast clouds
224,Coahuayana,MX,18.73,-103.68,74.7,87,1,3.4,clear sky
225,Dvinskoy,RU,62.15,45.12,44.53,94,100,8.14,overcast clouds
226,Presidente Epitacio,BR,-21.76,-52.12,74.39,87,100,8.72,heavy intensity rain
227,Torbay,CA,47.67,-52.73,36.0,86,90,2.24,light rain
228,Nyrob,RU,60.73,56.72,37.36,94,96,7.31,overcast clouds
229,Asyut,EG,27.18,31.18,87.8,45,0,11.41,clear sky
230,Luanda,AO,-8.84,13.23,82.4,74,40,5.82,scattered clouds
